Model,Best_High_Recall_Threshold,Best_High_Recall_FP,Best_High_Recall_FN,Min_FP_Threshold,Min_FP_Count,Min_FP_FN,Min_FN_Threshold,Min_FN_Count,Min_FN_FP
Model_15,0.1,104,1,0.9,43,13,0.1,1,104
Model_6,0.7,133,2,0.9,88,4,0.1,0,198
